name,positions,body_type,short_passing,dribbling,long_passing,ball_control,agility,reactions,balance,stamina,interceptions,positioning,vision,composure,marking,standing_tackle
C. Eriksen,"CAM,RM,CM",Lean,0.9705882352941175,0.8717948717948718,0.9452054794520548,0.9428571428571428,0.8028169014084507,0.9122807017543859,0.821917808219178,0.9275362318840579,0.5384615384615384,0.9358974358974359,0.9634146341463415,0.8870967741935485,0.5833333333333333,0.5555555555555556
P. Pogba,"CM,CAM",Normal,0.8970588235294117,0.9102564102564104,0.9589041095890412,0.9285714285714284,0.7464788732394367,0.8070175438596492,0.6164383561643836,0.8695652173913044,0.641025641025641,0.9102564102564104,0.926829268292683,0.8709677419354838,0.6309523809523809,0.6790123456790123
K. Koulibaly,CB,Normal,0.6323529411764706,0.6794871794871795,0.547945205479452,0.5428571428571429,0.3802816901408451,0.8070175438596492,0.2602739726027397,0.681159420289855,0.9487179487179487,0.16666666666666669,0.4512195121951219,0.7580645161290323,0.9642857142857142,0.9382716049382716
V. van Dijk,CB,Normal,0.7941176470588236,0.6923076923076923,0.8356164383561644,0.7285714285714284,0.5352112676056338,0.894736842105263,0.3835616438356165,0.681159420289855,0.9487179487179487,0.38461538461538464,0.5853658536585366,0.8709677419354838,0.9523809523809523,0.9506172839506173
Sergio Busquets,"CDM,CM",Lean,0.9411764705882353,0.8205128205128205,0.8493150684931507,0.8999999999999999,0.6056338028169014,0.894736842105263,0.4246575342465753,0.8405797101449275,0.9358974358974359,0.846153846153846,0.9146341463414634,0.967741935483871,0.9523809523809523,0.9135802469135801
M. Škriniar,CB,Normal,0.7058823529411764,0.5512820512820513,0.6712328767123288,0.5999999999999999,0.352112676056338,0.8245614035087718,0.41095890410958896,0.7101449275362319,0.9230769230769229,0.24358974358974356,0.5487804878048781,0.7741935483870968,0.976190476190476,0.9506172839506173
Fernandinho,CDM,Lean,0.8823529411764706,0.7820512820512819,0.8630136986301369,0.8142857142857143,0.6901408450704225,0.9298245614035088,0.780821917808219,0.8115942028985508,0.9615384615384615,0.7564102564102564,0.7682926829268293,0.7419354838709677,0.9166666666666665,0.9135802469135801
I. Rakitić,"CM,CDM",Lean,0.9117647058823528,0.8461538461538463,0.9589041095890412,0.857142857142857,0.704225352112676,0.7719298245614035,0.6164383561643836,0.7971014492753623,0.8589743589743588,0.8846153846153846,0.9024390243902439,0.8548387096774193,0.7857142857142856,0.7777777777777777
J. Vertonghen,CB,Normal,0.7941176470588236,0.7051282051282051,0.7397260273972603,0.7428571428571427,0.5352112676056338,0.8596491228070176,0.5342465753424657,0.681159420289855,0.9615384615384615,0.6282051282051282,0.6829268292682927,0.8064516129032258,0.9404761904761905,0.9259259259259258
T. Alderweireld,CB,Normal,0.7941176470588236,0.5897435897435896,0.8904109589041096,0.7142857142857142,0.5211267605633803,0.9122807017543859,0.3972602739726027,0.6956521739130435,0.9358974358974359,0.6025641025641026,0.6707317073170732,0.8225806451612903,0.9523809523809523,0.9753086419753085
